Code,X,Y
1905.49998,0.408991318,0.006211305
1905.58331,0.392287318,0.006711766
1905.66664,0.384148921,0.009933327
1905.74997,0.376578862,0.013978009
1905.8333,0.401851645,0.017824307
1905.91663,0.395700933,0.015635487
1906,0.370398685,0.01053131
1906.08333,0.383902266,0.00989755
1906.16666,0.408765549,0.012026299
1906.24999,0.423442233,0.012280994
1906.33332,0.461568902,0.017199495
1906.41665,0.44923206,0.016841434
1906.49998,0.443000323,0.018115139
1906.58331,0.395891086,0.011818385
1906.66664,0.377173613,0.012784582
1906.74997,0.431106045,0.018853528
1906.8333,0.423342969,0.019159264
1906.91663,0.444069251,0.016052741
1907,0.464371519,0.016571844
1907.08333,0.518733475,0.014145041
1907.16666,0.612376738,0.027768199
1907.24999,0.610351343,0.025932633
1907.33332,0.666777926,0.026099018
1907.41665,0.710423562,0.031603243
1907.49998,0.674816224,0.025229353
1907.58331,0.75156686,0.030191153
1907.66664,0.76076885,0.026622402
1907.74997,0.886926123,0.032754322
1907.8333,0.904065762,0.030258202
1907.91663,0.831361521,0.02217352
1908,0.780558638,0.024132294
1908.08333,0.804364816,0.03101138
1908.16666,0.770430033,0.025226602
1908.24999,0.735376415,0.019225731
1908.33332,0.688613473,0.017403344
1908.41665,0.693517249,0.017603399
1908.49998,0.673403379,0.014924243
1908.58331,0.633750607,0.011932169
1908.66664,0.649415503,0.012693907
1908.74997,0.65350348,0.015878581
1908.8333,0.602802033,0.012007542
1908.91663,0.59579545,0.008023404
1909,0.585497088,0.007235308
1909.08333,0.629624175,0.010918421
1909.16666,0.615739943,0.012850188
1909.24999,0.589046658,0.012091755
1909.33332,0.564789147,0.015828495
1909.41665,0.556827678,0.017027108
1909.49998,0.541652596,0.019021145
1909.58331,0.523384153,0.009914075
1909.66664,0.532517535,0.011690074
1909.74997,0.54711969,0.016554346
1909.8333,0.561350792,0.014323698
1909.91663,0.55809195,0.01037899
1910,0.567290161,0.011803957
1910.08333,0.602575482,0.00688455
1910.16666,0.597168134,0.011370006
1910.24999,0.63195425,0.013031688
1910.33332,0.628669286,0.008344615
1910.41665,0.670812468,0.011565462
1910.49998,0.721143444,0.016723772
1910.58331,0.688458191,0.010368171
1910.66664,0.671131318,0.013206809
1910.74997,0.595599506,0.00895353
1910.8333,0.578505072,0.003912415
1910.91663,0.606092804,-0.002457335
1911,0.583781696,-0.000468508
1911.08333,0.534002136,-0.003333114
1911.16666,0.558745667,-0.005103276
1911.24999,0.531967548,-0.004763222
1911.33332,0.510000964,-0.004277119
1911.41665,0.491567262,-0.015002671
1911.49998,0.508009593,-0.01521399
1911.58331,0.588770949,-0.012045942
1911.66664,0.653926467,-0.004441563
1911.74997,0.648556297,-0.004044975
1911.8333,0.599292605,-0.003301246
1911.91663,0.582334157,-0.000672813
1912,0.591710353,-0.001410405
1912.08333,0.611469502,0.001375728
1912.16666,0.593446652,0.002123166
1912.24999,0.584601343,0.004754895
1912.33332,0.575577501,0.008398531
1912.41665,0.556436846,0.007263696
1912.49998,0.54780086,0.007677209
1912.58331,0.524625404,0.008909057
1912.66664,0.519511571,0.010777392
1912.74997,0.514666323,0.012884829
1912.8333,0.516257014,0.008740185
1912.91663,0.532866755,0.012073849
1913,0.544873738,0.014021866
1913.08333,0.572240141,0.021835923
1913.16666,0.595853515,0.025358141
1913.24999,0.60345274,0.021853032
1913.33332,0.625047508,0.019896354
1913.41665,0.693517249,0.021207705
1913.49998,0.69465031,0.016504798
1913.58331,0.674227296,0.014351341
1913.66664,0.679733547,0.014097628
1913.74997,0.716166095,0.015978366
1913.8333,0.758729446,0.021458505
1913.91663,0.754475925,0.025017329
1914,0.720411497,0.024165434
1914.08333,0.702276728,0.023110769
1914.16666,0.718520375,0.023050113
1914.24999,0.733169495,0.02297419
1914.33332,0.734252549,0.021837129
1914.41665,0.736227974,0.024187828
1914.49998,0.803160727,0.034197657
1914.58331,0.819663238,0.037350732
1914.66664,0.816332281,0.036335301
1914.74997,0.805910586,0.03483513
1914.8333,0.812056851,0.040059289
1914.91663,0.843525983,0.049619345
1915,0.825015956,0.051667942
1915.08333,0.825554634,0.053928355
1915.16666,0.794157173,0.048658041
1915.24999,0.734094183,0.040467003
1915.33332,0.771850619,0.045936979
1915.41665,0.763419442,0.046696736
1915.49998,0.771809508,0.049827349
1915.58331,0.735194926,0.047045416
1915.66664,0.701153143,0.045723878
1915.74997,0.662026492,0.043546145
1915.8333,0.640061493,0.043304287
1915.91663,0.643397477,0.044679023
1916,0.672603651,0.047908709
1916.08333,0.692797242,0.049092216
1916.16666,0.701731924,0.042119785
1916.24999,0.721694814,0.040201133
1916.33332,0.709221686,0.038374265
1916.41665,0.706840508,0.041779324
1916.49998,0.722065308,0.046920281
1916.58331,0.722324735,0.049653615
1916.66664,0.699761004,0.046856149
1916.74997,0.68818949,0.041241957
1916.8333,0.68579428,0.039983032
1916.91663,0.735595497,0.045940347
1917,0.76834929,0.04732656
1917.08333,0.854401028,0.054787823
1917.16666,0.820848743,0.052997646
1917.24999,0.882962344,0.056651424
1917.33332,0.929254398,0.063241037
1917.41665,0.923541959,0.062196397
1917.49998,0.9331826,0.066846774
1917.58331,0.975297912,0.074562447
1917.66664,1.043598673,0.084565595
1917.74997,1.109893685,0.088107982
1917.8333,1.193774979,0.098579472
1917.91663,1.241013762,0.10375997
1918,1.19913121,0.097738872
1918.08333,1.171679879,0.093488566
1918.16666,1.187233688,0.100700911
1918.24999,1.212973187,0.107698792
1918.33332,1.206008208,0.107471175
1918.41665,1.218240776,0.102288408
1918.49998,1.240643704,0.102209768
1918.58331,1.253898613,0.104467526
1918.66664,1.277996165,0.111769451
1918.74997,1.257697121,0.109557715
1918.8333,1.251357956,0.113687616
1918.91663,1.285678283,0.116018356
1919,1.290584261,0.123781213
1919.08333,1.270112607,0.123120128
1919.16666,1.242214797,0.121172119
1919.24999,1.21784187,0.116565617
1919.33332,1.153450807,0.110755839
1919.41665,1.11739152,0.109326372
1919.49998,1.10458006,0.113979687
1919.58331,1.18041254,0.125926501
1919.66664,1.161833278,0.127564358
1919.74997,1.11902216,0.110851206
